Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
Das Boot,1985,4h 53min,"Drama, Thriller, War",8.8,"24,298",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,"Jürgen Prochnow, Herbert Grönemeyer"
The Office,2005,22min,Comedy,8.8,"339,757","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Steve Carell, Jenna Fischer"
Seinfeld,1989,22min,Comedy,8.8,"237,316",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,"Jerry Seinfeld, Julia Louis-Dreyfus"
Black Mirror,2011,1h,"Drama, Sci-Fi, Thriller",8.8,"382,717","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Daniel Lapaine, Hannah John-Kamen"
Pride and Prejudice,1995,5h 27min,"Drama, Romance",8.8,"71,104","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Colin Firth, Jennifer Ehle"
Gravity Falls,2012,23min,"Animation, Action, Adventure",8.8,"60,967","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Jason Ritter, Alex Hirsch"
Over the Garden Wall,2014,1h 50min,"Animation, Adventure, Drama",8.8,"33,392",Two brothers find themselves lost in a mysterious land and try to find their way home.,"Elijah Wood, Collin Dean"
One Punch Man: Wanpanman,2015,24min,"Animation, Action, Comedy",8.8,"97,972","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa, Kaito Ishikawa"
Twin Peaks,1990,47min,"Crime, Drama, Mystery",8.8,"162,379",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,"Kyle MacLachlan, Michael Ontkean"
Narcos,2015,49min,"Biography, Crime, Drama",8.8,"319,359","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Pedro Pascal, Wagner Moura"
